TAIL_NUM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
N7737E,342.0,2.442857142857143,0.0,0.0,190.0,1.3571428571428572,81.0,0.5785714285714286,0.0,0.0,71.0,0.5071428571428571
N864NN,341.0,5.590163934426229,0.0,0.0,174.0,2.8524590163934427,22.0,0.36065573770491804,0.0,0.0,145.0,2.377049180327869
N307DQ,341.0,3.7888888888888888,0.0,0.0,93.0,1.0333333333333334,107.0,1.1888888888888889,0.0,0.0,141.0,1.5666666666666667
N229NN,341.0,3.41,54.0,0.54,26.0,0.26,176.0,1.76,0.0,0.0,85.0,0.85
N549UW,341.0,3.7888888888888888,0.0,0.0,109.0,1.211111111111111,138.0,1.5333333333333334,0.0,0.0,94.0,1.0444444444444445
N744P,341.0,3.128440366972477,0.0,0.0,77.0,0.7064220183486238,149.0,1.3669724770642202,0.0,0.0,115.0,1.055045871559633
N716SK,340.0,42.5,0.0,0.0,178.0,22.25,4.0,0.5,0.0,0.0,158.0,19.75
N906AA,340.0,3.4,0.0,0.0,79.0,0.79,150.0,1.5,0.0,0.0,111.0,1.11
N672NK,337.0,7.837209302325581,0.0,0.0,84.0,1.9534883720930232,76.0,1.7674418604651163,0.0,0.0,177.0,4.116279069767442
N414WN,335.0,1.8926553672316384,0.0,0.0,157.0,0.8870056497175142,65.0,0.3672316384180791,0.0,0.0,113.0,0.6384180790960452
N69816,335.0,3.988095238095238,0.0,0.0,199.0,2.369047619047619,127.0,1.5119047619047619,0.0,0.0,9.0,0.10714285714285714
N460SW,335.0,2.2333333333333334,0.0,0.0,123.0,0.82,91.0,0.6066666666666667,0.0,0.0,121.0,0.8066666666666666
N394AN,335.0,10.151515151515152,31.0,0.9393939393939394,264.0,8.0,40.0,1.2121212121212122,0.0,0.0,0.0,0.0
N184AN,335.0,7.282608695652174,0.0,0.0,114.0,2.4782608695652173,130.0,2.8260869565217392,0.0,0.0,91.0,1.9782608695652173
N9621A,335.0,10.46875,0.0,0.0,250.0,7.8125,0.0,0.0,0.0,0.0,85.0,2.65625
N355DN,334.0,3.036363636363636,0.0,0.0,66.0,0.6,215.0,1.9545454545454546,0.0,0.0,53.0,0.4818181818181818
N546US,334.0,3.7954545454545454,0.0,0.0,85.0,0.9659090909090909,128.0,1.4545454545454546,0.0,0.0,121.0,1.375
